whRank,Team,Goals,Assists,Attempts At Goal,Attempts On Target,Off-Target Attempts,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Possession Control (%)
1,Germany,9,8,42,19,14,21,31,11,5,6.64,1.36x,16,54
2,Norway,7,4,24,12,8,29,21,3,5,3.91,1.79x,10,49
2,Canada,7,2,46,15,16,15,31,15,7,5.39,1.3x,28,59
2,Netherlands,7,7,20,13,6,35,16,4,6,2.88,2.43x,7,52
5,Japan,6,6,19,6,9,32,10,9,3,1.7,3.54x,9,46
5,France,6,5,30,13,11,20,19,11,3,3.91,1.53x,10,49
5,Sweden,6,5,29,15,9,21,18,11,2,3.39,1.77x,9,45
5,USA,6,3,26,8,9,23,21,5,6,3.45,1.74x,10,58
5,Portugal,6,3,24,10,9,25,17,7,1,2.6,2.31x,8,62
10,Argentina,5,3,22,11,7,23,13,9,2,4.03,1.24x,3,46
10,Switzerland,5,2,39,14,16,13,27,12,3,4.99,1x,17,58
12,Egypt,4,4,33,10,13,12,22,11,4,2.84,1.41x,10,44
12,Colombia,4,4,35,13,13,11,20,15,4,2.73,1.46x,9,58
12,England,4,3,41,14,17,10,34,7,13,5.11,0.78x,17,61
12,Spain,4,3,49,15,23,8,29,20,10,5.46,0.73x,17,64
12,Brazil,4,3,19,9,4,21,15,4,3,2.41,1.66x,10,48
17,New Zealand,3,3,25,13,5,12,16,9,5,2.18,1.38x,5,42
17,Austria,3,1,16,5,8,19,9,7,3,2.56,1.17x,7,48
17,Senegal,3,3,22,6,10,14,14,8,2,2.44,1.23x,8,48
17,Mexico,3,2,24,8,11,13,14,10,5,2.12,1.41x,3,49
17,Uruguay,3,1,44,12,22,7,25,19,15,3.73,0.8x,25,59
17,Croatia,3,3,16,7,7,19,8,8,1,1.64,1.83x,4,48
23,Paraguay,2,2,16,3,6,13,7,9,1,0.96,2.08x,1,24
23,Korea Republic,2,2,24,8,10,8,16,8,6,2.64,0.76x,6,54
23,IR Iran,2,1,24,7,10,8,16,8,5,2.33,0.86x,6,37
23,Australia,2,1,14,6,7,14,9,5,2,1.3,1.54x,9,29
23,Morocco,2,2,26,5,10,8,15,11,2,2.13,0.94x,7,50
23,Jordan,2,2,19,8,7,11,11,8,2,0.92,2.18x,4,30
23,Bosnia and Herzegovina,2,1,13,6,4,15,8,5,4,1.07,1.88x,7,32
23,Cabo Verde,2,0,18,5,7,11,5,13,2,0.67,2.97x,5,29
23,Algeria,2,1,24,9,9,8,15,9,5,2.46,0.81x,12,56
23,Côte d'Ivoire,2,1,24,6,10,8,13,11,0,3.15,0.63x,6,42
23,Czechia,2,2,21,7,7,10,16,5,9,1.99,1x,10,33
34,Curaçao,1,0,18,5,10,6,8,10,1,1.03,0.97x,1,29
34,Congo DR,1,1,15,3,9,7,5,10,3,0.96,1.04x,8,29
34,Uzbekistan,1,0,15,4,6,7,8,7,2,1.54,0.65x,5,34
34,Scotland,1,0,15,2,10,7,13,2,3,1.65,0.6x,5,40
34,Tunisia,1,1,8,2,3,13,3,5,2,0.37,2.73x,5,40
34,South Africa,1,0,20,6,7,5,7,13,3,1.44,0.69x,6,48
34,Iraq,1,1,15,1,12,7,11,4,6,1.9,0.53x,4,39
34,Belgium,1,0,38,11,16,3,27,11,4,2.55,0.39x,6,52
34,Ghana,1,1,9,2,3,11,8,1,3,1.32,0.76x,4,28
34,Qatar,1,0,8,3,4,13,5,3,1,0.72,1.39x,4,25
34,Saudi Arabia,1,0,10,5,4,10,3,7,1,1.17,0.85x,5,29
45,Türkiye,0,0,62,12,31,0,30,32,7,3.79,0x,20,65
45,Panama,0,0,19,5,8,0,12,7,3,1.47,0x,9,46
45,Ecuador,0,0,39,16,19,0,25,14,10,4.12,0x,14,58
45,Haiti,0,0,22,5,12,0,12,10,4,0.97,0x,8,47
