Rank,Team,Clean Sheets,Goals Conceded,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area
1,Mexico,4,0,6,51,41
2,Spain,3,0,6,43,31
3,France,2,2,9,42,36
3,Ghana,2,2,9,64,55
3,Australia,2,2,11,65,56
3,Cabo Verde,2,2,10,96,71
3,Argentina,2,1,1,31,26
3,Senegal,2,6,10,53,40
3,Portugal,2,1,9,63,54
3,Côte d'Ivoire,2,4,11,84,68
3,Brazil,2,2,12,54,47
3,Paraguay,2,5,24,116,103
3,England,2,3,6,53,43
3,Colombia,2,1,5,37,36
3,Canada,2,3,6,43,34
16,Belgium,1,4,8,52,42
16,South Africa,1,4,14,72,59
16,Scotland,1,4,9,75,64
16,Japan,1,5,17,78,64
16,Curaçao,1,9,21,81,72
16,IR Iran,1,3,15,75,65
16,Ecuador,1,4,12,68,63
16,Croatia,1,5,11,59,48
16,Saudi Arabia,1,5,17,86,78
16,USA,1,4,3,38,32
16,Morocco,1,4,9,59,49
27,New Zealand,0,10,11,97,88
27,Tunisia,0,12,7,77,64
27,Congo DR,0,5,15,83,70
27,Jordan,0,8,8,70,56
27,Uruguay,0,4,4,48,39
27,Türkiye,0,5,8,55,46
27,Haiti,0,8,13,56,48
27,Algeria,0,7,6,36,33
27,Bosnia and Herzegovina,0,6,8,71,55
27,Egypt,0,3,9,64,56
27,Uzbekistan,0,11,6,82,65
27,Korea Republic,0,3,11,42,34
27,Iraq,0,12,10,94,81
27,Germany,0,5,7,61,45
27,Netherlands,0,5,17,57,54
27,Panama,0,4,9,48,42
27,Qatar,0,10,16,124,103
27,Norway,0,8,12,85,75
27,Sweden,0,10,16,76,66
27,Austria,0,6,8,49,44
27,Czechia,0,6,11,60,52
27,Switzerland,0,3,11,38,34
