Rank,Team,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m)
1,Czechia,6.33,4330,1381,348826.43
2,Germany,6.29,5991,1990,508926.8
3,Belgium,6.26,4044,1447,448611.63
4,USA,6.23,4388,1513,358610.48
5,New Zealand,6.22,4280,1492,349040.82
6,Scotland,6.21,3766,1251,348567.52
7,Norway,6.19,5295,1853,464494.35
8,Australia,6.15,4023,1375,345911.08
9,Egypt,6.14,4068,1515,346823.8
10,Jordan,6.13,4296,1363,347325.19
11,England,6.13,5111,1964,455964.26
12,Canada,6.12,5536,2032,454227.11
13,Bosnia and Herzegovina,6.12,3592,1283,336456.49
14,Türkiye,6.1,3548,1289,350818.34
15,Tunisia,6.09,3503,1213,333260.77
16,Korea Republic,6.09,3553,1298,334954.79
17,Spain,6.09,3716,1256,342164.48
18,Mexico,6.09,5251,1805,451798.7
19,Iraq,6.09,3746,1209,328508.46
20,IR Iran,6.08,4061,1347,344366.12
21,France,6.07,4675,1695,444687.06
22,Croatia,6.07,3743,1381,334228.99
23,Panama,6.04,3745,1372,336713.09
24,Japan,6.02,4678,1669,446744.57
25,Saudi Arabia,6.02,4110,1450,338484.3
26,Switzerland,6,4041,1348,334171.2
27,Paraguay,6,5248,1818,488152.5
28,Austria,5.99,3776,1274,341426.82
29,Sweden,5.99,4426,1586,439790.02
30,Cabo Verde,5.97,3419,1207,335193.42
31,Congo DR,5.96,4983,1780,447455.88
32,Haiti,5.96,3975,1376,334085.63
33,Senegal,5.95,3738,1411,440300.87
34,Morocco,5.94,5228,2036,480903.65
35,Algeria,5.94,3638,1240,330809.85
36,Brazil,5.92,4919,1705,448014.6
37,Uzbekistan,5.9,3793,1354,337440.01
38,South Africa,5.9,5039,1884,429068.84
39,Uruguay,5.88,3668,1448,337450.99
40,Portugal,5.88,3395,1260,324019.59
41,Ghana,5.85,3429,1275,331255.68
42,Côte d'Ivoire,5.81,4657,1692,434938.12
43,Netherlands,5.77,4601,1590,455769.39
44,Curaçao,5.74,3093,1230,315767.46
45,Ecuador,5.72,4598,1793,426982.84
46,Argentina,5.71,3329,1099,318655.05
47,Qatar,5.64,3584,1080,310036.75
48,Colombia,5.63,3289,1146,315670.95
